Unnamed: 0,premise,choice1,choice2,label,question
17582322,go through doors and up the steps.,get off bus at destination.,wait at your bus stop.,0,effect
586626,put exact change in money receiver.,arrive at bus stop prior to bus's arrival.,step onto bus when arrives.,1,cause
626128,enter bus.,pay money or swipe pass.,bus stops at your destination.,0,effect
16832551,pay fare.,get on bus.,reach the destination.,0,cause
795035,find a seat.sit down.,wait for the bus to arrive.,get in bus.,1,cause
17045494,"when bus arrives, enter.climb bus steps.",find seat on bus.,wait for bus.,0,effect
914561,get into the bus.,find seat on bus and sit.,bus has arrived on destination.,0,effect
17989312,wait until the bus arrives at the destination.,sit down.,get off at your stop.,0,cause
93821,find the bus stop.,wait for bus.,get off bus .,0,effect
1287421,get off at stop.,walk to the bus stop.,"when bus arrives, enter.climb bus steps.",1,cause
17274943,ride bus to destination.,step onto bus.,bus stops at destination.,0,cause
1872282,exit bus.,retrieve ticket from machine.,ring the bell when you see your destination.,1,cause
16308593,wait there for the bus to arrive.,"when the driver stops and opens the door, leave the bus.",go to bus stop 5 minutes before bus arrives.go to your bus stop of choice.,1,cause
16605680,bus arrives at the source station.,wait for bus stop destination.,insert money for ticket.,0,effect
367412,sit down.,insert money for ticket.,the bus arrives at the departure station.,1,cause
1565900,wait for stop.,pay the fare to ride the bus.,walk down center of bus to find a seat.sit in seat.,1,cause
16200177,bus has arrived on destination.,signal by bell for stop.,wait for bus at bus stop.,0,cause
17568886,step onto bus when arrives.,sit patiently until the bus reaches your destination bus stop.,climb down stairs and exit bus.,1,effect
1803008,watch for your stop.wait until bus stops completely.,pay for your fare.,wait for destination.,1,cause
17497961,enter bus.,get off the bus at your desired stop.,find the bus stop.,0,effect
17895583,enjoy the ride.,find seat on bus.,"stand, go to the exit door of bus.",0,cause
1461243,get off at stop.,sit down.find an open seat.,board the bus when it arrives.,1,cause
16210968,decide which bus.,find bus schedule information from time table.,get a ticket for the bus ride.,0,cause
18026808,wait for correct stop.,wait for the bus.,wait for your stop to be announced.,1,effect
852264,sit or stand to location.,go to the bus station.,when it arrives get on.,1,cause
217568,head to the bus stop.,keep looking for your bus.,watch and listen for stop announcement.,0,effect
