,premise,choice1,choice2,label,question
0,call and check departure time.,determine a location to go to by train.,go to the car.,0,cause
1,check train schedules.,choose a destination.,go to the car.,0,cause
2,call and check departure time.,choose a destination.,go to the car.,0,cause
3,locate a train schedule.,first you have to plan where you want to go.,go to the car.,0,cause
4,look at all the times and pick a destination.,determine a location to go to by train.,go to the car.,0,cause
5,check train schedule.,choose a destination.,go to the car.,0,cause
7,check train schedule.,first you have to plan where you want to go.,go to the car.,0,cause
8,locate a train schedule.,choose a destination.,go to the car.,0,cause
9,call and check departure time.,first you have to plan where you want to go.,go to the car.,0,cause
10,look at all the times and pick a destination.,first you have to plan where you want to go.,go to the car.,0,cause
11,choose a destination.,look at all the times and pick a destination.,go to the car.,0,effect
12,determine a location to go to by train.,look at all the times and pick a destination.,go to the car.,0,effect
13,first you have to plan where you want to go.,check train schedule.,go to the car.,0,effect
14,first you have to plan where you want to go.,look on schedule board for departure information.,go to the car.,0,effect
15,determine a location to go to by train.,look up train information online.,go to the car.,0,effect
16,determine a location to go to by train.,check train schedule.,go to the car.,0,effect
18,first you have to plan where you want to go.,locate a train schedule.,go to the car.,0,effect
19,choose a destination.,look up train information online.,go to the car.,0,effect
20,determine a location to go to by train.,look on schedule board for departure information.,go to the car.,0,effect
22,park car .,determine a location to go to by train.,go to the car.,1,cause
23,ensure transportation is secured in lot.,determine a location to go to by train.,go to the car.,1,cause
24,park car .,first you have to plan where you want to go.,go to the car.,1,cause
25,park car at parking.,first you have to plan where you want to go.,go to the car.,1,cause
27,park car.,first you have to plan where you want to go.,go to the car.,1,cause
28,ensure transportation is secured in lot.,choose a destination.,go to the car.,1,cause
29,park at station.,determine a location to go to by train.,go to the car.,1,cause
31,park car.,determine a location to go to by train.,go to the car.,1,cause
33,go to the car.,park at station.,choose a destination.,0,effect
34,go to the car.,park car at parking.,determine a location to go to by train.,0,effect
35,go to the car.,ensure transportation is secured in lot.,first you have to plan where you want to go.,0,effect
36,go to the car.,ensure transportation is secured in lot.,determine a location to go to by train.,0,effect
37,go to the car.,ensure transportation is secured in lot.,choose a destination.,0,effect
39,go to the car.,park at station.,first you have to plan where you want to go.,0,effect
40,go to the car.,park car .,first you have to plan where you want to go.,0,effect
41,go to the car.,park car.,first you have to plan where you want to go.,0,effect
42,go to the car.,park car at parking.,first you have to plan where you want to go.,0,effect
43,go to the car.,park car at parking.,choose a destination.,0,effect
44,get out of car.,choose a destination.,go to the car.,1,cause
48,get out of car.,determine a location to go to by train.,go to the car.,1,cause
49,get out of car.,first you have to plan where you want to go.,go to the car.,1,cause
55,go to the car.,choose a destination.,get out of car.,1,effect
56,go to the car.,determine a location to go to by train.,get out of car.,1,effect
60,go to the car.,first you have to plan where you want to go.,get out of car.,1,effect
66,choose a destination.,pack necessary luggage.,look at all the times and pick a destination.,1,effect
67,first you have to plan where you want to go.,pack clothes.pack luggage for the journey.,check train time.,1,effect
68,first you have to plan where you want to go.,pack clothes.pack luggage for the journey.,look on schedule board for departure information.,1,effect
69,first you have to plan where you want to go.,pack bags.,check train schedules.,1,effect
70,choose a destination.,pack luggage for the journey.,call and check departure time.,1,effect
71,choose a destination.,pack clothes.pack luggage for the journey.,call and check departure time.,1,effect
72,first you have to plan where you want to go.,pack luggage for the journey.,check train schedule.,1,effect
73,first you have to plan where you want to go.,packing/gathering luggage.,check train schedules.,1,effect
74,determine a location to go to by train.,pack clothes and other items for the journey.,call and check departure time.,1,effect
76,first you have to plan where you want to go.,pack luggage for the journey.,locate a train schedule.,1,effect
77,call and check departure time.,pack necessary luggage.,first you have to plan where you want to go.,1,cause
78,look at all the times and pick a destination.,packing/gathering luggage.,first you have to plan where you want to go.,1,cause
79,check train schedules.,you have to pack your bags and other take other useful stuff.,first you have to plan where you want to go.,1,cause
80,locate a train schedule.,packing/gathering luggage.,first you have to plan where you want to go.,1,cause
81,look on schedule board for departure information.,packing/gathering luggage.,determine a location to go to by train.,1,cause
82,look up train information online.,packing/gathering luggage.,choose a destination.,1,cause
83,check train schedules.,pack luggage for the journey.,choose a destination.,1,cause
84,check train schedule.,pack bags.,first you have to plan where you want to go.,1,cause
85,check train schedules.,pack bags.,choose a destination.,1,cause
86,look on schedule board for departure information.,pack clothes.pack luggage for the journey.,determine a location to go to by train.,1,cause
87,check train schedules.,you have to pack your bags and other take other useful stuff.,determine a location to go to by train.,1,cause
88,choose a destination.,call and check departure time.,go to train station.,0,effect
89,first you have to plan where you want to go.,look on schedule board for departure information.,driving to the train station.,0,effect
90,determine a location to go to by train.,locate a train schedule.,go to train station.,0,effect
91,first you have to plan where you want to go.,locate a train schedule.,go to the train station.,0,effect
92,first you have to plan where you want to go.,look up train information online.,go to train station.,0,effect
93,first you have to plan where you want to go.,check train schedule.,drive to the train station.,0,effect
94,choose a destination.,look up train information online.,go to the train station.,0,effect
95,determine a location to go to by train.,locate a train schedule.,get to station.,0,effect
96,determine a location to go to by train.,look on schedule board for departure information.,driving to the train station.,0,effect
97,choose a destination.,look on schedule board for departure information.,go to train station.,0,effect
98,first you have to plan where you want to go.,check train schedules.,go to train station.,0,effect
99,call and check departure time.,go to the station.,first you have to plan where you want to go.,1,cause
100,check train schedule.,secure transportation to the train station.use transportation to train station.,determine a location to go to by train.,1,cause
101,look up train information online.,get to train stop.,choose a destination.,1,cause
102,check train schedule.,go to the train station.,determine a location to go to by train.,1,cause
103,look on schedule board for departure information.,go to the train station.,first you have to plan where you want to go.,1,cause
104,look up train information online.,drive to the train station.,first you have to plan where you want to go.,1,cause
105,look on schedule board for departure information.,go to train station.,determine a location to go to by train.,1,cause
106,check train time.,drive to train station.,determine a location to go to by train.,1,cause
107,look on schedule board for departure information.,get to station.,first you have to plan where you want to go.,1,cause
108,check train schedules.,go to train station.,choose a destination.,1,cause
109,check train schedules.,go to station.,first you have to plan where you want to go.,1,cause
110,first you have to plan where you want to go.,look up train information online.,park car.,0,effect
111,first you have to plan where you want to go.,look up train information online.,park car at parking.,0,effect
112,choose a destination.,look on schedule board for departure information.,park at station.,0,effect
113,determine a location to go to by train.,call and check departure time.,park car at parking.,0,effect
114,choose a destination.,call and check departure time.,park car at parking.,0,effect
115,determine a location to go to by train.,check train schedules.,park car.,0,effect
116,determine a location to go to by train.,check train schedule.,park car.,0,effect
117,choose a destination.,check train schedules.,park car at parking.,0,effect
118,determine a location to go to by train.,look up train information online.,park car.,0,effect
119,choose a destination.,locate a train schedule.,park car at parking.,0,effect
120,first you have to plan where you want to go.,look on schedule board for departure information.,park at station.,0,effect
121,look at all the times and pick a destination.,park car .,determine a location to go to by train.,1,cause
122,check train schedules.,ensure transportation is secured in lot.,first you have to plan where you want to go.,1,cause
123,check train time.,ensure transportation is secured in lot.,first you have to plan where you want to go.,1,cause
124,look on schedule board for departure information.,park car .,determine a location to go to by train.,1,cause
