Unnamed: 0,premise,choice1,choice2,label,question
174095,add the dry mixture to the wet mixture(in the bowl).,purchase the ingredients.,getting ingredients ready.,1,cause
1408530,add cake mix to bowl.and add ingredients.,follow recipe to make the batter.,ice the cake.,0,effect
55113432,take cake out.,put the cake in the oven.,put any frosting or toppings on it.,0,cause
53937175,mix all the wet ingredients together in one bowl.mix the dry ingredients in another bowl.beat the mixture on low until the batter comes together and no white bits of flour remain.,taste cake.,measure ingredients in designated measuring cups.,1,cause
8674109,get the ingredients and materials you need.,bake in oven according to time on instructions.,add the rest of the ingredients to bowl.,1,effect
8654778,get ingredients.,grease baking pan.,fill bowl with ingredients.,1,effect
8647950,gather all of your ingredients (varies depending on your recipe).,remove the tin.,"once home, pour dry mix into bowl.add eggs, oil, water.",1,effect
52805562,gather all of your ingredients (varies depending on your recipe).,add the rest of the ingredients to bowl.,find a cake recipe.,0,effect
54896316,place pan into oven.,take pan out of oven and let cake cool down for 1 hour.,put batter into a pan.,0,effect
46900700,bake until cake is ready.,put the cake batter in the oven.,grease cake pan.,0,cause
52952344,add cake mix to bowl.and add ingredients.,bake in oven according to time on instructions.,get all the ingredients together.,1,cause
54063281,mix ingredients together.,"empty contents of cake mix into a bowl.add 3 eggs, 1 cup of water, and 1/4 cup of oil to cake mix.",pour batter in pan.,0,cause
53934495,whisk after each addition.stir to combine.,measure ingredients in designated measuring cups.,pour into cake pans.,0,cause
52626968,come home with the ingredients .,buy proper ingredients.,bake for allotted time.,0,cause
1300657,measure wet ingredients.measure dry ingredients.,place the tin into the oven to bake.,"put eggs, milk, and cake mix into a mixing bowl.include any other necessary ingredients.",1,effect
2541277,put dish in oven.,eat it.,take out of oven.,1,effect
963119,get mixing pan.get mixing tool or spoon or fork.,mix cake batter.,pre-heat oven based on recipes instructions.,0,effect
54703885,put into oven.,turn off oven and let the cake cool.,"open up cake box.mix cake mix, eggs, oil and water in bowl.stir until well mixed.",0,effect
54089716,mix cake and other ingredients.,add the rest of the ingredients to bowl.,eat it.,0,cause
1611756,set timer and bake for time directed according to pan size.,mix in the extra ingredients.,put cake in oven.,1,cause
47309492,take cake out of oven.after ten minutes flip cake out onto cooling rack.,put cake pan into oven.,mix in a bowl.,0,cause
54465707,put cake in oven.,bake until cake is ready.,add cake mix to utensil.,0,effect
47287198,use pot holder to remove from oven.,place pan into oven when preheated. .,mix all the ingredients.,0,cause
55205847,set the timer on the oven according to directions on the box.,bake in preheated oven.,find a cake recipe.,0,effect
2011279,place in oven.,eat cake. .,wait for appropriate time.,1,effect
47138170,take the cake out of the oven and let it cool.,put cake in oven.,first heat oven.,0,cause
257489,take out eggs.milk.other ingredients.,add the rest of the ingredients to bowl.,place pan in oven.,0,effect
2402889,"when cake is done, remove from oven.",mix your ingredients.,place pan in oven.,1,cause
2068731,turn off oven .,get cake instructions.,put the pan in the oven and bake the cake according to the recipe.,1,cause
1608753,set a timer.,mix cake mix with eggs as called for by box.,put dish in the oven.,1,cause
948004,get mixing bowl.get cake pan.,stir well.,test if it cooked by inserting a toothpick - when it comes clean out it is cooked.,0,effect
8601111,"get flour.get sugar.get baking powder, milk, eggs, vanilla, oil.",add them to a pan.,"take flour in a bowl.add water, sugar, beaten egg, vanilla essence, butter and salt one by one.",1,effect
