,premise,choice1,choice2,label,question
0,go home.,go to nursery.,choose a tree that you want to grow.,0,cause
1,take tree sapling to place you want to plant it.,go to garden center.,choose tree and spot to plant.,0,cause
2,go to garden.,go to nursery.,choose type of tree.,0,cause
3,go home.,go to nursery.,choose tree and spot to plant.,0,cause
4,take tree sapling to place you want to plant it.,go to nursery.,choose type of tree.,0,cause
6,take it home.,go to store.,choose tree and spot to plant.,0,cause
7,go to garden.,go to store.,choose type of tree.,0,cause
8,go home.,go to store.,choose a tree that you want to grow.,0,cause
9,go to garden.,go to nursery.,choose tree and spot to plant.,0,cause
11,go home.,go to nursery.,choose type of tree.,0,cause
13,go to garden.,go to nursery.,choose a tree that you want to grow.,0,cause
15,transport it home.,go to store.,choose tree and spot to plant.,0,cause
19,take tree sapling to place you want to plant it.,go to store.,choose a tree that you want to grow.,0,cause
20,take tree sapling to place you want to plant it.,go to store.,choose tree and spot to plant.,0,cause
21,transport it home.,go to garden center.,choose a tree that you want to grow.,0,cause
22,transport it home.,go to nursery.,choose a tree that you want to grow.,0,cause
23,transport it home.,go to store.,choose type of tree.,0,cause
25,transport it home.,go to nursery.,choose type of tree.,0,cause
26,go to garden.,go to garden center.,choose tree and spot to plant.,0,cause
28,go to garden.,go to store.,choose tree and spot to plant.,0,cause
29,transport it home.,go to garden center.,choose type of tree.,0,cause
30,take tree sapling to place you want to plant it.,go to nursery.,choose tree and spot to plant.,0,cause
32,take it home.,go to nursery.,choose type of tree.,0,cause
33,take it home.,go to garden center.,choose tree and spot to plant.,0,cause
34,transport it home.,go to garden center.,choose tree and spot to plant.,0,cause
35,take it home.,go to nursery.,choose tree and spot to plant.,0,cause
36,go home.,go to store.,choose tree and spot to plant.,0,cause
38,transport it home.,go to nursery.,choose tree and spot to plant.,0,cause
42,go to nursery.,take it home.,choose tree and spot to plant.,0,effect
44,go to nursery.,take tree sapling to place you want to plant it.,choose type of tree.,0,effect
45,go to nursery.,take it home.,choose a tree that you want to grow.,0,effect
46,go to store.,transport it home.,choose tree and spot to plant.,0,effect
47,go to nursery.,take tree sapling to place you want to plant it.,choose a tree that you want to grow.,0,effect
48,go to garden center.,take tree sapling to place you want to plant it.,choose a tree that you want to grow.,0,effect
49,go to nursery.,go to garden.,choose type of tree.,0,effect
50,go to nursery.,go home.,choose tree and spot to plant.,0,effect
51,go to garden center.,go home.,choose tree and spot to plant.,0,effect
53,go to nursery.,transport it home.,choose a tree that you want to grow.,0,effect
55,go to store.,go home.,choose type of tree.,0,effect
56,go to nursery.,take it home.,choose type of tree.,0,effect
57,go to garden center.,go to garden.,choose a tree that you want to grow.,0,effect
58,go to nursery.,go home.,choose type of tree.,0,effect
59,go to nursery.,transport it home.,choose type of tree.,0,effect
61,go to nursery.,transport it home.,choose tree and spot to plant.,0,effect
66,go to store.,take it home.,choose type of tree.,0,effect
67,go to nursery.,go to garden.,choose tree and spot to plant.,0,effect
69,go to store.,go to garden.,choose a tree that you want to grow.,0,effect
70,go to store.,go to garden.,choose type of tree.,0,effect
72,go to store.,go home.,choose a tree that you want to grow.,0,effect
74,go to garden center.,take it home.,choose type of tree.,0,effect
75,go to nursery.,go to garden.,choose a tree that you want to grow.,0,effect
76,go to garden center.,take tree sapling to place you want to plant it.,choose type of tree.,0,effect
77,go to nursery.,go home.,choose a tree that you want to grow.,0,effect
80,go to garden center.,take it home.,choose tree and spot to plant.,0,effect
81,go to nursery.,take tree sapling to place you want to plant it.,choose tree and spot to plant.,0,effect
82,go to garden center.,transport it home.,choose a tree that you want to grow.,0,effect
84,go to nursery.,pick a spot in the yard for the tree.,purchase tree.,1,effect
85,go to garden center.,find a spot to plant.,buy some sapling of desired tree.,1,effect
86,go to store.,go to a field or a yard.,acquire sapling.,1,effect
87,go to nursery.,go home and pick out a nice place to plant your tree.,buy plant sapling.,1,effect
88,go to store.,go to a field or a yard.,buy a tree.,1,effect
89,go to store.,go to a field or a yard.,pick out a sapling that you like.,1,effect
90,go to garden center.,select a correct place in my backyard.,get tree in pot.,1,effect
91,go to store.,choose a spot to plant the tree.,buy a tree sapling.,1,effect
92,go to store.,select a spot where to plant a tree preferably in good exposure to sunlight.,go buy a tree.,1,effect
93,go to store.,select location.,buy tree sapling.,1,effect
94,go to nursery.,choose a spot to plant the tree.,buy tree sapling.,1,effect
95,go to nursery.,find a spot to plant.,buy plant sapling.,1,effect
96,go to nursery.,find a location to plant tree.,obtain seedling.,1,effect
97,go to nursery.,find place in ground with enough space for tree.,buy or get a plant sapling .,1,effect
98,go to nursery.,select a spot where to plant a tree preferably in good exposure to sunlight.,buy sapling.,1,effect
99,go to store.,find spot to plant tree.,get tree.,1,effect
100,go to garden center.,go outside to find spot for tree.,purchase a tree.,1,effect
101,go to nursery.,find spot to plant tree.,buy a young tree.,1,effect
102,go to garden center.,go outside.,purchase a tree to plant.,1,effect
103,go to nursery.,find place in ground with enough space for tree.,acquire sapling.,1,effect
104,go to nursery.,find spot to plant tree.,purchase a tree to plant.,1,effect
105,go to store.,go outside.,get tree seedloing.,1,effect
106,go to store.,walk outside.,get tree sapling.,1,effect
107,go to nursery.,choose spot for planting.,purchase a tree to plant.,1,effect
108,go to store.,pick a spot in the yard for the tree.,buy the tree.,1,effect
109,go to nursery.,pick location.,get a tree.,1,effect
110,go to store.,choose a spot to plant the tree.,get baby tree to plant.,1,effect
111,go to store.,pick a spot in the yard for the tree.,get baby tree to plant.,1,effect
112,go to nursery.,find a suitable area.,go buy a tree.,1,effect
113,go to nursery.,go home and pick out a nice place to plant your tree.,get a tree.,1,effect
114,go to nursery.,go outside to find spot for tree.,pick out a sapling that you like.,1,effect
115,go to garden center.,select a correct place in my backyard.,purchase the tree.,1,effect
116,go to nursery.,find a spot to plant.,purchase a tree to plant.,1,effect
117,go to nursery.,locate the spot to plant the tree.,buy a tree.,1,effect
