,premise,choice1,choice2,label,question
0,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",check to bus schedule in the time table to see when the bus is running.,1,cause
1,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",find bus schedule information from time table.,1,cause
2,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",look at bus schedule on time table.decide what time you need to arrive at bus stop.,1,cause
3,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",check the schedule of bus in time table.,1,cause
4,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",find out when bus leaves.,1,cause
5,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",get a bus schedule by checking time table.,1,cause
6,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",check to bus schedule in the time table to see when the bus is running.,1,cause
7,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",find out bus schedule using time table.,1,cause
8,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",get a bus schedule by checking time table.,1,cause
9,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",find bus schedule information from time table.,1,cause
10,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",get a local bus map or bus schedule.check the bus schedule to make sure that the bus route stops by destination.check the bus schedule to find the times that the bus stops by your location.,1,cause
14,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",look at bus schedule on time table.decide what time you need to arrive at bus stop.,1,cause
19,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",get a local bus map or bus schedule.check the bus schedule to make sure that the bus route stops by destination.check the bus schedule to find the times that the bus stops by your location.,1,cause
20,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",check bus schedule in time table.,1,cause
21,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",find out bus schedule using time table.,1,cause
22,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",have the knowledge about the bus schedule from time table.,1,cause
23,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",check bus schedule in time table.,1,cause
30,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",have the knowledge about the bus schedule from time table.,1,cause
32,get a local bus map or bus schedule.check the bus schedule to make sure that the bus route stops by destination.check the bus schedule to find the times that the bus stops by your location.,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
33,get a local bus map or bus schedule.check the bus schedule to make sure that the bus route stops by destination.check the bus schedule to find the times that the bus stops by your location.,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
34,have the knowledge about the bus schedule from time table.,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
35,look at bus schedule on time table.decide what time you need to arrive at bus stop.,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
36,find out bus schedule using time table.,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
38,get a bus schedule by checking time table.,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
39,find out when bus leaves.,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
40,check to bus schedule in the time table to see when the bus is running.,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
42,check the schedule of bus in time table.,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
46,check bus schedule in time table.,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
47,check to bus schedule in the time table to see when the bus is running.,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
49,check bus schedule in time table.,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
53,get a bus schedule by checking time table.,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
54,find out when bus leaves.,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
56,have the knowledge about the bus schedule from time table.,decide which bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
58,check the schedule of bus in time table.,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
60,find bus schedule information from time table.,find out what bus to take.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
64,wait at bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",go to bus station.,1,cause
65,wait for bus.,"find out how much the bus ride costs, either online or by calling bus company.","find the bus stop nearest to your location.when you are ready to leave, go to the nearest bus stop and wait for the next bus.",1,cause
66,wait at your bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",find the bus stop.,1,cause
67,wait for the bus.,"find out how much the bus ride costs, either online or by calling bus company.",go to the bus stop.,1,cause
68,wait at your bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",go to the nearest bus stop.,1,cause
69,wait for the bus to arrive.,"find out how much the bus ride costs, either online or by calling bus company.",walk to bus stop.,1,cause
70,wait for bus.,"find out how much the bus ride costs, either online or by calling bus company.",walk to the bus stop.,1,cause
71,wait at bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",go to bus stop.,1,cause
75,stand at the bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",go to the nearest bus stop.,1,cause
76,wait for bus to arrive.,"find out how much the bus ride costs, either online or by calling bus company.",go to bus stop.,1,cause
77,wait for bus.,"find out how much the bus ride costs, either online or by calling bus company.",walk to bus stop.,1,cause
78,wait at bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",go to the bus stop/bus stand.,1,cause
79,keep looking for your bus.,"find out how much the bus ride costs, either online or by calling bus company.",reach the designated bus stop before the bus reaches there to avoid missing the bus.,1,cause
80,wait for bus.,"find out how much the bus ride costs, either online or by calling bus company.",arrive at bus stop prior to bus's arrival.,1,cause
81,wait there for the bus to arrive.,"find out how much the bus ride costs, either online or by calling bus company.",find the nearest bus stop.,1,cause
82,wait for bus.,"find out how much the bus ride costs, either online or by calling bus company.",find the bus stop.,1,cause
83,wait for bus.,"find out how much the bus ride costs, either online or by calling bus company.",get to bus stop some time early.,1,cause
85,wait a bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",go to bus stop.,1,cause
86,wait for the bus.,"find out how much the bus ride costs, either online or by calling bus company.",go to bus station.,1,cause
87,wait at bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",locate bus stop.,1,cause
89,stand at the bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",walk to bus stop.,1,cause
90,wait for the bus.,"find out how much the bus ride costs, either online or by calling bus company.",go to the bus station.,1,cause
92,wait for bus to arrive.,"find out how much the bus ride costs, either online or by calling bus company.",arrive at bus stop prior to bus's arrival.,1,cause
93,keep looking for your bus.,"find out how much the bus ride costs, either online or by calling bus company.",walk to the bus stop.,1,cause
95,wait at bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",go to the bus stop.,1,cause
96,go to bus stop.,wait a bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
97,walk to the bus stop.,wait for bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
98,locate bus stop.,wait.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
99,find the bus stop.,wait at bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
100,go to the bus stop.,wait at bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
101,walk to the bus stop.,wait for the bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
102,arrive at bus stop prior to bus's arrival.,stand at the bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
103,walk to bus stop.,wait for bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
104,walk to the bus stop.,wait at bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
105,walk to bus stop.,wait at bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
106,go to the bus stop/bus stand.,wait for bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
107,locate bus stop.,stand at the bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
108,walk to bus stop.,keep looking for your bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
110,walk to bus stop.,wait on the bench until the bus arrives.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
111,go to bus stop 5 minutes before bus arrives.go to your bus stop of choice.,wait for bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
112,go to bus stop.,wait at bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
113,walk to the bus stop.,wait for bus to arrive.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
116,walk to bus stop.,wait for the bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
117,go to bus station.,wait at bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
118,walk to the bus stop.,wait on the bench until the bus arrives.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
119,get to bus stop some time early.,wait at bus stop.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
120,walk to bus stop.,wait for bus arrival.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
123,go to the bus stop.,wait for bus.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
125,go to bus stop.,wait there for the bus to arrive.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
126,find the bus stop.,wait there for the bus to arrive.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
128,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",go to bus stop.,1,cause
129,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",go to the bus station.,1,cause
130,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",walk to bus stop.,1,cause
131,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",go to the nearest bus stop.,1,cause
132,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",go to bus stop at designated time.,1,cause
134,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",locate bus stop.,1,cause
136,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",locate bus stop.,1,cause
137,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",walk to bus stop.,1,cause
139,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",go to bus station.,1,cause
145,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",go to the bus stop/bus stand.,1,cause
146,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",walk to the bus stop.,1,cause
147,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",arrive at bus stop prior to bus's arrival.,1,cause
152,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",get to bus stop some time early.,1,cause
156,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",reach the designated bus stop before the bus reaches there to avoid missing the bus.,1,cause
160,arrive at bus stop prior to bus's arrival.,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
161,walk to bus stop.,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
162,walk to the bus stop.,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
163,reach the designated bus stop before the bus reaches there to avoid missing the bus.,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
164,go to the bus stop.,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
165,go to the bus station.,signal the driver to stop when you see your bus coming.,"find out how much the bus ride costs, either online or by calling bus company.",0,effect
166,go to bus stop.,"when you see your bus approaching, signal to the driver to stop.","find out how much the bus ride costs, either online or by calling bus company.",0,effect
