Unnamed: 0,premise,choice1,choice2,label,question
643091,go back to car.load groceries in trunk.,get items from grocery shelf.put in cart.,get into car.,1,cause
81422679,put items on belt.,check your list at each aisle to ensure you haven't missed anything.,gather items from grocery rack.,1,cause
4298610,unload items onto conveyer belt.,make a list of things needed before leaving home.,fill the shopping cart with grocery items.,1,cause
4784702,pay total amount and check out.,in your favorite store take a trolley if more things to be purchased or a bag for small.,"get any non-expiring products first.next, go for items like fruit, vegetables, eggs, and bread.finally, get any dairy items.",1,cause
5770861,place items in cart on belt for cashier to scan.,walk in to the store.,bring cart to register.,1,cause
29646505,walk out to the car.put the items in the car.,go to the favorite grocery shop by car.,making grocery list.,0,cause
97296737,find groceries.put them in the cart.,pay total.,cross them off your list(check if all items on list are purchased).,0,effect
98555943,cashier rings up items.,walk out to the car.put the items in the car.,proceed to checkout.,1,cause
82042853,pay for items.,"select the items from shelf, get them one by one.",get shopping cart.,0,cause
78289884,go up to the cashier.,bagger bags groceries.,put items on conveyor belt.,1,effect
98256969,"when you are finished picking out what you want to purchase, go to the check out line.",take a shopping cart.,place groceries items on conveyor belt.,1,effect
82105451,pay cashier.,get what you need from the aisles.,enter super market.,0,cause
94438378,enter grocery store.,make a trip to the store by car.,get things from grocery shelf.,0,cause
99155123,pay for groceries.,take cart to car.put bags in car.,take to check out.,1,cause
6188064,head for the counter.,go back to the car.put the bags in the car.,cashier gives you total.,1,effect
5114788,"first pick up the bottle things so that it goes in bottom of the trolley.then shop for the packet items.now time for oil, milk items so that it won't get crushed by other heavy things.",pay by credit card.,drive home and put away groceries.,0,effect
98493739,go up to check out line.,watch prices as the checker scans.,start at the non cold side of the store.,0,effect
6190376,take cart to checkout line.,bag food.,cashier gives total amount to be paid.,1,effect
96991002,scan all my items while somebody bags them.,put items in cart you want .,go to car.,0,cause
8899649,"get any non-expiring products first.next, go for items like fruit, vegetables, eggs, and bread.finally, get any dairy items.",take cart to checkout line.,leave grocery store.,0,effect
97470087,"get any non-expiring products first.next, go for items like fruit, vegetables, eggs, and bread.finally, get any dairy items.",pay for items purchased.,take your car and drive to grocery shop.,0,effect
99276649,take groceries one by one for billing.,cashier gives you total.,go to the grocery store by car.,0,effect
7512327,turn on the car.,pay for items at check out.,go to the store by driving your own vehicle.,1,effect
96318647,put items in cart you want .,grab a grocery cart.,bring cart to register.,1,effect
81516105,place items in cart on belt for cashier to scan.,get what you need from the aisles.,go to the store by driving.,0,cause
3075545,push cart back to car.put groceries in trunk.,"when all items are scanned, the cashier will give you a total.",park your car.,1,cause
5321227,pack purchased grocery items.,go to the store by your own vehicle.,go through store picking items.,1,cause
7081603,pay total amount and check out.,drive to the grocery store.,wait to know the total amount to be paid.,1,cause
4650612,pay for items with cash or credit.,go shopping.,find the food you need and put in cart.,1,cause
6157283,cashier gives you total.,stand in line for register.,go to checkout counter.,1,cause
74952795,get a shopping cart.,cashier gives total amount to be paid.,return cart to store.,1,effect
25810111,carry the list of items to store.,"when all items are scanned, the cashier will give you a total.",take out the shopping list from the car.,1,effect
5352209,go through store picking items.,"if necessary, bag your items.",put food items away in kitchen at right place.,0,effect
