,premise,choice1,choice2,label,question
0,take list to store.,inventory your cupboards.make a list of what you need.,turn the car on.,0,cause
1,carry the list of items to store.,make grocery list based off of menu.,turn on the car.,0,cause
2,take the list of items to purchase you made to store.,make grocery list.,turn on the car.,0,cause
3,take list to store.,make a shopping list based on the menu and items you need.,turn on the car.,0,cause
4,take the list of items to purchase you made to store.,take inventory of items you will need.make a list of things you are going to buy.,turn the car on.,0,cause
5,prepare grocery list.,take the list of items to purchase you made to store.,turn the car on.,0,effect
6,make grocery list.,carry the list of items to store.,turn on the car.,0,effect
7,list out the things you want to buy.,take the list of items to purchase you made to store.,turn on the car.,0,effect
8,make a list.,take list to store.,turn the car on.,0,effect
9,make a list of grocery required.,take list to store.,turn on the car.,0,effect
10,go to the store by your own vehicle.,make a list of items you need at the grocery.,turn the car on.,1,cause
11,drive to store.,look in the fridge.make a list.,turn on the car.,1,cause
12,drive to the grocery store.,make a list.,turn the car on.,1,cause
13,drive to grocery store.,create list of things to buy.,turn the car on.,1,cause
14,drive to grocery store.,make grocery list.,turn the car on.,1,cause
15,turn the car on.,go to the store by driving.,make a list of groceries needed.,0,effect
16,turn on the car.,drive to the grocery store.,make a list of what you need.,0,effect
17,turn on the car.,go to grocery store by car.,review what you have at home and make a list of what you need.,0,effect
18,turn the car on.,drive to grocery store.,make a list of things needed before leaving home.,0,effect
19,turn on the car.,drive to grocery store.,make a grocery list.,0,effect
20,park car.,prepare grocery list.,turn on the car.,1,cause
21,park car.,make a list of groceries needed.,turn on the car.,1,cause
22,find parking spot.park car.,create list of things to buy.,turn on the car.,1,cause
23,park the car.,make a list of what is needed.,turn on the car.,1,cause
24,find parking spot.park car.,make grocery list.,turn on the car.,1,cause
25,turn the car on.,park car at the parking.,make grocery list.,0,effect
26,turn on the car.,park car at the parking.,make a grocery list.,0,effect
27,turn the car on.,find parking spot.park car.,make a grocery list.,0,effect
28,turn the car on.,park car at the parking.,take inventory of items you will need.make a list of things you are going to buy.,0,effect
29,turn the car on.,park your car.,make grocery list based off of menu.,0,effect
30,enter store.,make grocery list.,turn the car on.,1,cause
31,enter the store.,inventory your cupboards.make a list of what you need.,turn the car on.,1,cause
32,enter grocery store.,make a list of needed items.,turn the car on.,1,cause
33,go in store.,make a list.,turn the car on.,1,cause
34,go inside.,check existing stock.make a list of needed items.,turn the car on.,1,cause
35,turn the car on.,enter grocery store.,make list of needed items.,0,effect
36,turn on the car.,go into grocery store.,review what you have at home and make a list of what you need.,0,effect
37,turn the car on.,enter grocery store.,write list.,0,effect
38,turn the car on.,go into store.,review what you have at home and make a list of what you need.,0,effect
