Unnamed: 0,premise,choice1,choice2,label,question
14129639,hold it with one hand firmly and refill the soil.refill some more soil to fill the gap if any.,water regularly.,dig hole in ground about 16 inches deep.,1,cause
13450913,dig hole big enough for seedling.,place tree sapling into hole.,"get shovel,gloves and other tools ready.",0,effect
1105056,cover with dirt.,go outside.,dig a hole into the ground.,1,cause
1663526,put tree into hole in ground.,fill hole with dirt and fertilizer.,water it.,0,effect
6072280,put tree root/seed into hole.,pack dirt around tree.,fill hole with dirt.,1,effect
1687506,put tree in hole.,fill up the rest of the hole with dirt.,water the tree generously.,0,effect
14639915,fill the hole back with dirt.,firmly but gently pack down around roots.,insert tree sapling.,1,cause
550235,place tree in hole.,"grab shovel,gloves and other gardening tools.",dig a hole deep enough to plant the tree roots.,1,cause
14526400,fill hole with dirt and fertilizer.,plant the tree sapling in the soil.,fill watering can.water sapling.,0,cause
13943994,dig hole for tree with shovel.,cover the plant root loosely with soil.,find place in ground with enough space for tree.,0,effect
79794,go to garden center.,buy a tree sapling.,plant the sapling in ground.,0,effect
13815349,place sapling into hole.,dig hole for tree with shovel.,pat gently to secure sapling.,0,cause
13838180,dig a hole with shovel.,choose a tree that you want to grow.,cover the roots with surrounding dirt.,1,effect
14523729,fill hole up with soil that you used to dig the hole.,put tree in hole.,water tree.,0,cause
13768020,put in the ground.,with small shovel dig hole.,place a stabilizing stick if need.,0,cause
13409836,dig the soil about two fingers deep.,place the tree at the top of the hole.,put on gloves and sunglasses.,0,effect
748780,plant tree sapling about 4 inches in the dirt.,buy some sapling of desired tree.,dig hole big enough for seedling.,1,cause
1803697,make sure tree is standing straight and secure.,"take gloves,shovel and other tools.","place sapling in hole, roots down.",1,cause
1498150,put soil back in hole around tree.,if you like you can add a fertilizer.,put tree roots into hole.,1,cause
14639173,fill hole with dirt around the tree.,place the tree inside the whole.,pat lightly.,0,cause
14323368,place seedling into hole.,cover hole with soil.,get gloves.get garden supplies.,0,effect
14216767,cover the tree with the dirt you took out of the hole.,dig small hole in dirt.,pat gently to secure sapling.,0,cause
14533841,replace displaced dirt.,place tree in hole.,put a small amount of water in hole.,0,cause
1367082,dig a hole large enough to place the tree into.,refill hole with remaining dirt.,firmly but gently pack down around roots.,0,effect
734415,put tree in hole.,obtain seedling.,dig a hole with shovel.,1,cause
1784326,place sapling into hole.,take off gloves and put away with shovel.,cover hole back up.,1,effect
11144030,make sure it is stable.,use shovel to dig hole.,cover up hole.,0,cause
6087168,insert the sapling in the ground.,take off gloves and put away with shovel.,fill in dirt around the tree gently.,1,effect
13400351,dig a hole in the ground.,gently insert it under the soil about 6 inches deep.,choose a tree that you want to grow.,0,effect
14459641,place tree sapling into hole.,fill hole with dirt and fertilizer.,buy or get a plant sapling .,0,effect
10904645,fill hole with dirt.,dig hole big enough for seedling.,get plant sapling.,0,cause
10448603,put tree roots into hole.,dig a hole of appropriate size.,go home.,0,cause
1521241,cover hole with dirt.,select a site to plant the tree.,place tree in hole.,1,cause
14429308,place sapling into hole.,cover sapling with dirt.,go home.,0,effect
