Unnamed: 0,premise,choice1,choice2,label,question
33268284,ride to your stop.,"when train arrives, board train.",purchase train ticket.,0,cause
37176657,board the train.,enjoy the train trip.,get out of car.,0,effect
36325044,train arrives at the platform.,give ticket to steward when asked.,walk through roundabout.,0,effect
2394340,go to the railway station.,walk to the train platform.,buy a ticket.,0,effect
1674535,get to destination.,show conductor your ticket.,get on my train.,1,cause
7412,choose a destination.,sit or stand and wait for your train.,look at all the times and pick a destination.,1,effect
33516381,wait until train reaches destination.,get on train.,wait for the train to arrive.,0,cause
1417967,relax or watch favorite movie while train journey.,go to the station.,"when train arrives, get on train.",1,cause
36269158,purchase train ticket for destination.,enjoy the journey.,go to ticket window.,1,cause
33851088,exit train at correct stop.,"when train arrives, board the train.",buy pass.,0,cause
483786,retrieve ticket from machine.,check train time.,walk to ticket counter.,1,cause
33357015,listen to music or read etc while riding.look at window if you haven't seen the surroundings.,upon arrival get into the compartment.,get to station.,0,cause
1460765,relax in train.wait for correct stop.,get out of car.,"when train arrives, board a car.",1,cause
439320,go to station.,find a vacant window seat.,leave to designated area.,1,effect
395521,secure transportation to the train station.use transportation to train station.,board the train.,walk to the train platform.,1,effect
36981500,"when train arrives, board a car.",relax in train.wait for correct stop.,hand ticket to ticket taker.,0,effect
37021449,board the train.,relax and wait on your seat till your stop comes.,gathering ticket and required identification.,0,effect
33953996,get off at your correct stop.,get on the correct train.,ensure transportation is secured in lot.,0,cause
2430034,walk to the subway.,park car .,go on platform.,1,effect
33113477,show receptionist train ticket.,"when train arrives, board train.",wait for train to arrive.,0,cause
35962457,enter train station from front gate.,get to station.,buy ticket to train.,0,cause
36802135,"when train arrives, board train.",show ticket to attendant.,arrive at the station.,0,effect
36173114,get out of car.,ensure transportation is secured in lot.,buy ticket.,0,cause
33476195,relax or watch favorite movie while train journey.,enter train station.,get on the train and enjoy.,1,cause
37251259,get on the train.,wait for destination stop.,wait in line to board.,0,effect
515729,go to ticket office.,buying a ticket.,exit train at correct stop.,0,effect
36199322,get to ticket booth.,purchase ticket.,pack necessary luggage.,0,effect
2143632,get off train at your stop.,locate a train schedule.,arrive at the target destination . .,1,cause
33933022,get off at your stop.,get on the train and enjoy.,go to railway station.,0,cause
37033141,get on the correct train.,retrieve ticket from machine.,wait until train reaches destination.,1,effect
1101970,show the ticket checker your ticket.,ensure transportation is secured in lot.,get on my train.,1,cause
6504932,adjust luggage in the luggage space.,find the correct platform.,pack bags.,1,cause
36772519,get on the correct train.,give conductor ticket.,arrive train station.,0,effect
221415,enter train station from front gate.,choose a destination.,arrive at the station.,1,cause
35990927,drive to the train station.,leave to designated area.,determine a location to go to by train.,0,effect
36677952,find the reserved seat and sit down.,get on train.,leave station.,0,cause
463663,enter the train station.,go to the assigned track.,wait until your station.,0,effect
1874676,get off at destination.,first you have to plan where you want to go.,"when train arrives, board train.",1,cause
33454467,wait for destination stop.,board the train.,pack bags.,0,cause
20244082,walk to ticket counter.,board correct train.,retrieve ticket from machine.,1,effect
8906184,leave to designated area.,go to the station.,check train schedules.,0,cause
16097206,go on platform.,check train time.,enter train station from front gate.,1,cause
2004406,get off at destination.,go to the platform where the train is expected.,"when the train comes , get up and enter the train.",1,cause
1695665,arrive at destination stop.,relax in train.wait for correct stop.,"when train arrives, ride up the train compartment as per ticket.",1,cause
34072867,get off at your stop.,board the train.,find seat.sit and relax.,0,cause
36061561,go to platform.,enjoy ride.,arrive train station.,1,cause
1014119,show ticket to attendant.,buy a ticket at the window.,"when train arrives, board the train.",1,cause
1665630,"when train arrives, board train.",ride train and enjoy journey.,adjust luggage in the luggage space.,0,effect
1933658,get off at your correct stop.,buy ticket to the travel destination.,"when train arrives, ride up the train compartment as per ticket.",1,cause
37341012,getting into train when arrives.,listen to music or read etc while riding.look at window if you haven't seen the surroundings.,find a vacant window seat.,0,effect
33855614,disembark train.,book train tickets.,get on my train.,1,cause
1204187,show ticket pass to conductor.,find seat.sit and relax.,"when the train comes , get up and enter the train.",1,cause
4182770,"when train arrives, get on train.",adjust luggage in the luggage space available.,exit train at correct stop.,1,effect
37253819,get on train.,enjoy the ride on the train.,wait for the train to arrive.,0,effect
1123778,show ticket pass.,pack necessary luggage.,"when the train comes , get up and enter the train.",1,cause
313028,go to railway station.,get off at your correct stop.,go on platform.,1,effect
36889853,board train when it arrives.,show ticket pass.,wait for boarding time for train.,0,effect
36964908,board correct train.,listen to music or read etc while riding.look at window if you haven't seen the surroundings.,show ticket to attendant.,0,effect
32884893,sit.,upon arrival get into the compartment.,wait at train stop.,0,cause
36548074,enter train.,find a vacant window seat.,park car .,0,effect
916688,find seat.sit and relax.,wait for train to arrive.,board the train.,1,cause
