,premise,choice1,choice2,label,question
0,carefully follow instructions step by step.,get cake instructions.,go to store.buy ingredients.,0,cause
1,carefully follow instructions step by step.,find a recipe.,buy cake mix.,0,cause
2,carefully follow instructions step by step.,find a recipe.,"buy cake mix, milk, butter, eggs.",0,cause
3,carefully follow instructions step by step.,read the recipe.,go to the supermarket and purchase the ingredients.,0,cause
5,carefully follow instructions step by step.,find a recipe.,go to store.buy ingredients.,0,cause
6,carefully follow instructions step by step.,find a recipe.,enter grocery store.buy cake ingredients.,0,cause
7,carefully follow instructions step by step.,get cake instructions.,purchase the ingredients.,0,cause
8,carefully follow instructions step by step.,get your recipe.,buy proper ingredients.,0,cause
9,carefully follow instructions step by step.,look up cake recipe.,enter grocery store.buy cake ingredients.,0,cause
10,carefully follow instructions step by step.,find a cake recipe.,"go to the grocery store and buy a cake mix.before leaving store, read instructions on box for other ingredients needed.buy other ingredients if you do not have at home.",0,cause
12,look up a recipe.,carefully follow instructions step by step.,go to store and buy cake mix.,0,effect
13,get cake instructions.,carefully follow instructions step by step.,buy cake mix.,0,effect
14,look up a recipe.,carefully follow instructions step by step.,buy cake ingredients.,0,effect
15,find a recipe.,carefully follow instructions step by step.,buy cake mix.,0,effect
16,look up cake recipe.,carefully follow instructions step by step.,go to store.buy ingredients.,0,effect
17,look up a cake recipe.print out or write down the recipe.,carefully follow instructions step by step.,buy proper ingredients.,0,effect
18,find a recipe.,carefully follow instructions step by step.,purchase ingredients.,0,effect
19,look up cake recipe.,carefully follow instructions step by step.,"go to the grocery store and buy a cake mix.before leaving store, read instructions on box for other ingredients needed.buy other ingredients if you do not have at home.",0,effect
21,look up a cake recipe.print out or write down the recipe.,carefully follow instructions step by step.,buy cake mix.,0,effect
22,get your recipe.,carefully follow instructions step by step.,go to store.buy ingredients.,0,effect
23,look up cake recipe.,carefully follow instructions step by step.,buy cake ingredients.,0,effect
24,go home with purchased ingredients.,find a cake recipe.,buy cake ingredients.,1,cause
25,come home with the ingredients .,look up a cake recipe.print out or write down the recipe.,buy cake mix.,1,cause
26,return home with ingredients which you shopped.,find a recipe.,go to the supermarket and purchase the ingredients.,1,cause
27,go home with purchased ingredients.,look up a recipe.,go to store.buy ingredients.,1,cause
28,go home with ingredients.,look up a recipe.,"go to the grocery store and buy a cake mix.before leaving store, read instructions on box for other ingredients needed.buy other ingredients if you do not have at home.",1,cause
29,return home with ingredients which you shopped.,get your recipe.,enter grocery store.buy cake ingredients.,1,cause
30,come home with the ingredients .,look up a cake recipe.print out or write down the recipe.,go to store and buy cake mix.,1,cause
31,go home with purchased ingredients.,look up a recipe.,buy cake mix.,1,cause
32,return home with ingredients which you shopped.,find a recipe.,buy cake mix.,1,cause
34,come home with the ingredients .,look up a recipe.,go to store.buy ingredients.,1,cause
35,return home with ingredients which you shopped.,get your recipe.,buy cake ingredients.,1,cause
36,buy cake mix.,go home with purchased ingredients.,look up a cake recipe.print out or write down the recipe.,0,effect
37,buy cake mix.,go home with ingredients.,find a recipe.,0,effect
38,buy cake mix.,come home with the ingredients .,find a recipe.,0,effect
39,"go to the grocery store and buy a cake mix.before leaving store, read instructions on box for other ingredients needed.buy other ingredients if you do not have at home.",go home with ingredients.,get your recipe.,0,effect
40,buy cake ingredients.,return home with ingredients which you shopped.,read the recipe.,0,effect
41,purchase ingredients.,go home with ingredients.,look up a cake recipe.print out or write down the recipe.,0,effect
42,buy cake mix.,come home with the ingredients .,look up cake recipe.,0,effect
43,purchase ingredients.,return home with ingredients which you shopped.,get out your recipe.,0,effect
44,"buy cake mix, milk, butter, eggs.",go home with purchased ingredients.,read the recipe.,0,effect
45,purchase the ingredients.,go home with ingredients.,find a recipe.,0,effect
46,go to the supermarket and purchase the ingredients.,go home with purchased ingredients.,find a recipe.,0,effect
47,purchase the ingredients.,come home with the ingredients .,find a cake recipe.,0,effect
48,look up a cake recipe.print out or write down the recipe.,carefully follow instructions step by step.,return home with ingredients which you shopped.,0,effect
